Dataset,Algorithm,Confusion Matrix,Accuracy,Precision_0,Recall_0,F1_0,Support_0,Precision_1,Recall_1,F1_1,Support_1,Number of Positive Samples,Number of Negative Samples,Execution Time (s),Model Group
LABR,MultinomialNB (default),"[[   3 1624]
 [   0 8055]]",0.8323,1.0,0.0018,0.0037,1627,0.8322,1.0,0.9084,8055,40528,7881,0.0462,MultinomialNB
LABR_Balanced,MultinomialNB (default),"[[7799  335]
 [1407 6671]]",0.8925,0.8472,0.9588,0.8995,8134,0.9522,0.8258,0.8845,8078,40528,40528,0.0658,MultinomialNB
LABR_Preprocessed,MultinomialNB (default),"[[   8 1581]
 [   1 8089]]",0.8366,0.8889,0.005,0.01,1589,0.8365,0.9999,0.9109,8090,40514,7877,0.0306,MultinomialNB
LABR_Preprocessed_Balanced,MultinomialNB (default),"[[7005 1093]
 [1580 6528]]",0.8351,0.816,0.865,0.8398,8098,0.8566,0.8051,0.8301,8108,40514,40514,0.0435,MultinomialNB
LABR,MultinomialNB (alpha=0.01),"[[ 403 1224]
 [ 102 7953]]",0.863,0.798,0.2477,0.378,1627,0.8666,0.9873,0.9231,8055,40528,7881,0.0451,MultinomialNB
LABR_Balanced,MultinomialNB (alpha=0.0001),"[[7920  214]
 [ 725 7353]]",0.9421,0.9161,0.9737,0.944,8134,0.9717,0.9103,0.94,8078,40528,40528,0.111,MultinomialNB
LABR_Preprocessed,MultinomialNB (alpha=0.01),"[[ 244 1345]
 [  56 8034]]",0.8553,0.8133,0.1536,0.2583,1589,0.8566,0.9931,0.9198,8090,40514,7877,0.0378,MultinomialNB
LABR_Preprocessed_Balanced,MultinomialNB (alpha=0.0001),"[[7245  853]
 [1390 6718]]",0.8616,0.839,0.8947,0.866,8098,0.8873,0.8286,0.8569,8108,40514,40514,0.0567,MultinomialNB
LABR,ComplementNB (default),"[[  93 1534]
 [  43 8012]]",0.8371,0.6838,0.0572,0.1055,1627,0.8393,0.9947,0.9104,8055,40528,7881,0.1065,ComplementNB
LABR_Balanced,ComplementNB (default),"[[7803  331]
 [1434 6644]]",0.8911,0.8448,0.9593,0.8984,8134,0.9525,0.8225,0.8827,8078,40528,40528,0.1121,ComplementNB
LABR_Preprocessed,ComplementNB (default),"[[ 224 1365]
 [ 126 7964]]",0.846,0.64,0.141,0.231,1589,0.8537,0.9844,0.9144,8090,40514,7877,0.0302,ComplementNB
LABR_Preprocessed_Balanced,ComplementNB (default),"[[7002 1096]
 [1579 6529]]",0.8349,0.816,0.8647,0.8396,8098,0.8563,0.8053,0.83,8108,40514,40514,0.0336,ComplementNB
LABR,ComplementNB (alpha=0.05),"[[ 962  665]
 [ 717 7338]]",0.8573,0.573,0.5913,0.582,1627,0.9169,0.911,0.9139,8055,40528,7881,0.0466,ComplementNB
LABR_Balanced,ComplementNB (alpha=0.0001),"[[7921  213]
 [ 749 7329]]",0.9407,0.9136,0.9738,0.9428,8134,0.9718,0.9073,0.9384,8078,40528,40528,0.0708,ComplementNB
LABR_Preprocessed,ComplementNB (alpha=0.1),"[[1027  562]
 [1057 7033]]",0.8327,0.4928,0.6463,0.5592,1589,0.926,0.8693,0.8968,8090,40514,7877,0.0296,ComplementNB
LABR_Preprocessed_Balanced,ComplementNB (alpha=0.0001),"[[7245  853]
 [1389 6719]]",0.8617,0.8391,0.8947,0.866,8098,0.8873,0.8287,0.857,8108,40514,40514,0.0401,ComplementNB
LABR,LinearSVC (default),"[[ 770  857]
 [ 236 7819]]",0.8871,0.7654,0.4733,0.5849,1627,0.9012,0.9707,0.9347,8055,40528,7881,0.7547,LinearSVC
LABR_Balanced,LinearSVC (default),"[[8034  100]
 [ 601 7477]]",0.9568,0.9304,0.9877,0.9582,8134,0.9868,0.9256,0.9552,8078,40528,40528,1.5855,LinearSVC
LABR_Preprocessed,LinearSVC (default),"[[ 697  892]
 [ 314 7776]]",0.8754,0.6894,0.4386,0.5362,1589,0.8971,0.9612,0.928,8090,40514,7877,0.9759,LinearSVC
LABR_Preprocessed_Balanced,LinearSVC (default),"[[7533  565]
 [1153 6955]]",0.894,0.8673,0.9302,0.8976,8098,0.9249,0.8578,0.8901,8108,40514,40514,4.816,LinearSVC
