Dataset,Algorithm,Confusion Matrix,Accuracy,Precision_0,Recall_0,F1_0,Support_0,Precision_1,Recall_1,F1_1,Support_1,Number of Positive Samples,Number of Negative Samples,Execution Time (s),Model Group
ASTD,MultinomialNB (default),"[[320   0]
 [146  18]]",0.6983,0.6867,1.0,0.8142,320,1.0,0.1098,0.1978,164,777,1642,0.0047,MultinomialNB
ASTD_Balanced,MultinomialNB (default),"[[275  48]
 [ 25 309]]",0.8889,0.9167,0.8514,0.8828,323,0.8655,0.9251,0.8944,334,1642,1642,0.0089,MultinomialNB
ASTD_Preprocessed,MultinomialNB (default),"[[315   5]
 [134  30]]",0.7128,0.7016,0.9844,0.8192,320,0.8571,0.1829,0.3015,164,777,1642,0.0039,MultinomialNB
ASTD_Preprocessed_Balanced,MultinomialNB (default),"[[270  53]
 [ 25 309]]",0.8813,0.9153,0.8359,0.8738,323,0.8536,0.9251,0.8879,334,1642,1642,0.0049,MultinomialNB
ASTD,MultinomialNB (alpha=0.05),"[[284  36]
 [ 83  81]]",0.7541,0.7738,0.8875,0.8268,320,0.6923,0.4939,0.5765,164,777,1642,0.0054,MultinomialNB
ASTD_Balanced,MultinomialNB (alpha=0.1),"[[285  38]
 [ 30 304]]",0.8965,0.9048,0.8824,0.8934,323,0.8889,0.9102,0.8994,334,1642,1642,0.0055,MultinomialNB
ASTD_Preprocessed,MultinomialNB (alpha=0.1),"[[291  29]
 [ 85  79]]",0.7645,0.7739,0.9094,0.8362,320,0.7315,0.4817,0.5809,164,777,1642,0.005,MultinomialNB
ASTD_Preprocessed_Balanced,MultinomialNB (alpha=0.5),"[[274  49]
 [ 24 310]]",0.8889,0.9195,0.8483,0.8824,323,0.8635,0.9281,0.8947,334,1642,1642,0.0044,MultinomialNB
ASTD,ComplementNB (default),"[[294  26]
 [ 96  68]]",0.7479,0.7538,0.9188,0.8282,320,0.7234,0.4146,0.5271,164,777,1642,0.0107,ComplementNB
ASTD_Balanced,ComplementNB (default),"[[274  49]
 [ 25 309]]",0.8874,0.9164,0.8483,0.881,323,0.8631,0.9251,0.8931,334,1642,1642,0.0065,ComplementNB
ASTD_Preprocessed,ComplementNB (default),"[[288  32]
 [ 69  95]]",0.7913,0.8067,0.9,0.8508,320,0.748,0.5793,0.6529,164,777,1642,0.004,ComplementNB
ASTD_Preprocessed_Balanced,ComplementNB (default),"[[270  53]
 [ 23 311]]",0.8843,0.9215,0.8359,0.8766,323,0.8544,0.9311,0.8911,334,1642,1642,0.0049,ComplementNB
ASTD,ComplementNB (alpha=0.05),"[[268  52]
 [ 56 108]]",0.7769,0.8272,0.8375,0.8323,320,0.675,0.6585,0.6667,164,777,1642,0.0052,ComplementNB
ASTD_Balanced,ComplementNB (alpha=0.1),"[[285  38]
 [ 30 304]]",0.8965,0.9048,0.8824,0.8934,323,0.8889,0.9102,0.8994,334,1642,1642,0.0064,ComplementNB
ASTD_Preprocessed,ComplementNB (alpha=0.5),"[[278  42]
 [ 61 103]]",0.7872,0.8201,0.8688,0.8437,320,0.7103,0.628,0.6667,164,777,1642,0.0043,ComplementNB
ASTD_Preprocessed_Balanced,ComplementNB (alpha=0.5),"[[273  50]
 [ 23 311]]",0.8889,0.9223,0.8452,0.8821,323,0.8615,0.9311,0.895,334,1642,1642,0.0052,ComplementNB
ASTD,LinearSVC (default),"[[292  28]
 [ 88  76]]",0.7603,0.7684,0.9125,0.8343,320,0.7308,0.4634,0.5672,164,777,1642,0.0124,LinearSVC
ASTD_Balanced,LinearSVC (default),"[[285  38]
 [ 31 303]]",0.895,0.9019,0.8824,0.892,323,0.8886,0.9072,0.8978,334,1642,1642,0.017,LinearSVC
ASTD_Preprocessed,LinearSVC (default),"[[276  44]
 [ 65  99]]",0.7748,0.8094,0.8625,0.8351,320,0.6923,0.6037,0.645,164,777,1642,0.0102,LinearSVC
ASTD_Preprocessed_Balanced,LinearSVC (default),"[[271  52]
 [ 29 305]]",0.8767,0.9033,0.839,0.87,323,0.8543,0.9132,0.8828,334,1642,1642,0.0155,LinearSVC
ASTD,LinearSVC (C=5.0),"[[287  33]
 [ 78  86]]",0.7707,0.7863,0.8969,0.838,320,0.7227,0.5244,0.6078,164,777,1642,0.0334,LinearSVC
ASTD_Balanced,LinearSVC (C=0.5),"[[285  38]
 [ 31 303]]",0.895,0.9019,0.8824,0.892,323,0.8886,0.9072,0.8978,334,1642,1642,0.0147,LinearSVC
ASTD_Preprocessed,LinearSVC (C=0.5),"[[286  34]
 [ 71  93]]",0.7831,0.8011,0.8938,0.8449,320,0.7323,0.5671,0.6392,164,777,1642,0.0085,LinearSVC
ASTD_Preprocessed_Balanced,LinearSVC (C=0.5),"[[277  46]
 [ 32 302]]",0.8813,0.8964,0.8576,0.8766,323,0.8678,0.9042,0.8856,334,1642,1642,0.0105,LinearSVC
ASTD,NuSVC (default),"[[302  18]
 [112  52]]",0.7314,0.7295,0.9438,0.8229,320,0.7429,0.3171,0.4444,164,777,1642,1.2695,NuSVC
ASTD_Balanced,NuSVC (default),"[[312  11]
 [ 43 291]]",0.9178,0.8789,0.9659,0.9204,323,0.9636,0.8713,0.9151,334,1642,1642,1.9417,NuSVC
ASTD_Preprocessed,NuSVC (default),"[[293  27]
 [ 83  81]]",0.7727,0.7793,0.9156,0.842,320,0.75,0.4939,0.5956,164,777,1642,0.7813,NuSVC
ASTD_Preprocessed_Balanced,NuSVC (default),"[[308  15]
 [ 43 291]]",0.9117,0.8775,0.9536,0.9139,323,0.951,0.8713,0.9094,334,1642,1642,1.3408,NuSVC
ASTD,NuSVC (nu=0.01),"[[301  19]
 [111  53]]",0.7314,0.7306,0.9406,0.8224,320,0.7361,0.3232,0.4492,164,777,1642,0.8725,NuSVC
ASTD_Balanced,NuSVC (nu=0.5),"[[312  11]
 [ 43 291]]",0.9178,0.8789,0.9659,0.9204,323,0.9636,0.8713,0.9151,334,1642,1642,1.5324,NuSVC
ASTD_Preprocessed,NuSVC (nu=0.01),"[[290  30]
 [ 75  89]]",0.7831,0.7945,0.9062,0.8467,320,0.7479,0.5427,0.629,164,777,1642,0.7479,NuSVC
ASTD_Preprocessed_Balanced,NuSVC (nu=0.5),"[[308  15]
 [ 43 291]]",0.9117,0.8775,0.9536,0.9139,323,0.951,0.8713,0.9094,334,1642,1642,1.3216,NuSVC
ASTD,LogisticRegression (default),"[[317   3]
 [138  26]]",0.7087,0.6967,0.9906,0.8181,320,0.8966,0.1585,0.2694,164,777,1642,0.8214,LogisticRegression
ASTD_Balanced,LogisticRegression (default),"[[291  32]
 [ 40 294]]",0.8904,0.8792,0.9009,0.8899,323,0.9018,0.8802,0.8909,334,1642,1642,1.8328,LogisticRegression
ASTD_Preprocessed,LogisticRegression (default),"[[310  10]
 [110  54]]",0.7521,0.7381,0.9688,0.8378,320,0.8438,0.3293,0.4737,164,777,1642,0.0376,LogisticRegression
ASTD_Preprocessed_Balanced,LogisticRegression (default),"[[278  45]
 [ 42 292]]",0.8676,0.8688,0.8607,0.8647,323,0.8665,0.8743,0.8703,334,1642,1642,0.0161,LogisticRegression
ASTD,LogisticRegression (C=10.0),"[[294  26]
 [ 97  67]]",0.7459,0.7519,0.9188,0.827,320,0.7204,0.4085,0.5214,164,777,1642,0.9139,LogisticRegression
