review,sentiment
"One of the other reviewers has mentioned that after watching just 1 Oz episode you'll be hooked. They are right, as this is exactly what happened with me.<br /><br />The first thing that struck me about Oz was its brutality and unflinching scenes of violence, which set in right from the word GO. Trust me, this is not a show for the faint hearted or timid. This show pulls no punches with regards to drugs, sex or violence. Its is hardcore, in the classic use of the word.<br /><br />It is called OZ as that is the nickname given to the Oswald Maximum Security State Penitentary. It focuses mainly on Emerald City, an experimental section of the prison where all the cells have glass fronts and face inwards, so privacy is not high on the agenda. Em City is home to many..Aryans, Muslims, gangstas, Latinos, Christians, Italians, Irish and more....so scuffles, death stares, dodgy dealings and shady agreements are never far away.<br /><br />I would say the main appeal of the show is due to the fact that it goes where other shows wouldn't dare. Forget pretty pictures painted for mainstream audiences, forget charm, forget romance...OZ doesn't mess around. The first episode I ever saw struck me as so nasty it was surreal, I couldn't say I was ready for it, but as I watched more, I developed a taste for Oz, and got accustomed to the high levels of graphic violence. Not just violence, but injustice (crooked guards who'll be sold out for a nickel, inmates who'll kill on order and get away with it, well mannered, middle class inmates being turned into prison bitches due to their lack of street skills or prison experience) Watching Oz, you may become comfortable with what is uncomfortable viewing....thats if you can get in touch with your darker side.",positive
"True Love, I truly enjoyed and LOVED this movie. It was fun, funny and inspirational. I just saw it on DVD. How did I miss this one it's a winner! I mean Flex was ""That Guy"". I wanted to marry him. This was my 1st time seeing him as a straight leading man and he pulls it off. I thought Tangi Miller was the best ever and I was a Felicity head too. A fearless woman who only fears her Nana. Thank You for giving women of color range in your work and she looks great! Tasha Smith was a Blast! Aloma Wright was priceless as Nana. This cute romantic comedy is ""A Must See"". Oh and the new comer Marcus Patrick is worth the surprise ladies...True Love. Karen",positive
"I just got home from seeing ""Radio."" I've not seen such an inspiring story in a long time. My kids are ages 8 and 5 and I would like to take them so that they may ""feel"" the message as I did - you should seek to find the best in people and love them for who they are, not judge them for their differences. Cuba Gooding, Jr. and Ed Harris both deserve Academy Awards for this movie. I don't know why we can't have more movies like this, rather than the junk that is served up at theatres on a daily basis.",positive
"As if reality shows like ""American Idol"" weren't enough, in which judges like Simon Cowell shoot razor-sharp barbs to contestants trying to make their mark on the music world -- barbs that many a time has reduced even outstanding singers to tears after what was deemed a ""bad performance"", now ""America's Next Top Model"" has for the past three years invaded the boob tube with its own version of ""looking for the next big thing"" in a business that values superficiality, concepts of beauty, and body dysmorphia.<br /><br />A concept created by Tyra Banks, who is also a judge in the show, it gathers some fifteen contestants from all walks of life and has them submit themselves to innumerable ""tasks"" in which they must prove their ""talent"" in front of the camera and subject themselves not only to the now departed Janice Dickinson (self-dubbed ""American's First Supermodel"") but the equally catty Jay Manuel and Nore Marin who may at one point focus on one girl not performing well and blithely rip her to shreds like it was bad morning coffee. Like in many other reality-based shows, each week one contestant is voted off and must pack her bags and immediately leave (a thing that they are reminded by Tyra at every turn). Of course, there is the bitchy tension between several of the more type-A females, female bonding, tears, dramatic swells of music in key moments, and some truly breathtaking pictures that transform erstwhile ordinary, pretty girls into unattainable goddesses.<br /><br />I'll have to admit, the show is a guilty pleasure. Maybe it's the state of mind I'm in, but I kept wondering where the vomitorium was in cases when the already thin girls would need to hurl to make the cut and look the way the judges and photographers and many fickle designers would feel was correct for the moment. Even so, it's drawn me in despite my previous paragraph, possibly because I've always had an interest in the fashion world and have always loved watching stunning women being made even more unworldly with make up and perfect lighting. But I wonder where are they going with these increasingly difficult photo shoots. It's as if they were competing with ""Fear Factor"". Shoots that look like re-enactments of fight scenes in CROUCHING TIGER, HIDDEN DRAGON, shoots where the models have to pose underwater or in almost impossible situations, What's next: posing while tied to train tracks as an oncoming Amtrak roars upon them at 70 miles an hour? Or a shoot where they are underwater, chained, trying to set themselves free in record time while at the same time looking smashing in chiffon, and never, ever forgetting to smile their pearly whites at that camera? How about a ""Pit and the Pendulum"" version of a photo shoot?<br /><br />In one thing the show has to be given some kudos, and it's in a way akin to ""American Idol"". With this I'm probably going to justify the harshness of both shows, and its abrasive judges -- and essentially go against my initial paragraph. ""America's Next Top Model"" is a show that is an extended audition, like ""American Idol"", and in it the girls will get the sort of test treatment they will receive in the real world, where prospective designers and photographers, as monstrously fickle as they can be, will crush them to bits at the drop of a hat if they can't sell themselves the way they're expected to, and where one is asked to leave, another will supplant her with the necessary requirements. Which makes it a wonder that any girl would want to get into such a difficult media, but that's what dreams are made of.<br /><br />Going into its Fifth season it's been a major disappointment with the departure of Janice Dickinson; during her run she was a pretty tough barometer as to how the girls should walk, talk, emote, express themselves, and ultimately present themselves as a walking, living product that sells. With the cold addition of Twiggy I wonder where it will go from here -- Twiggy just can't replace the over-the-top temperament of Dickinson. So with Janice's absence the show has lost some of its edge and may even have signaled its slow demise, but in the meantime, it's still a catchy pleasure to watch, mindless entertainment on weeknights, if at all for the gorgeous visuals. If at all, it's the show that launched Adrienne Curry into the spotlight. Curry has made a name for herself due to facts that have less to do with modeling as much as her theatric love-affair with one time child actor Christopher Knight in their very own reality soap opera.",positive
"I missed the first 10 or so minutes of the movie but don't think watching it from the beginning would've made any difference. I found the film extremely boring and was disappointed with the acting. I remember Patrick Swayze and some of the other actors (Roy Marsden, for instance) in outstanding roles but they all disappointed here due to a very weak script. ""Kind Solomon's Mines""...the very short part of the movie inside the ""mines"" was about as exciting as watching paint dry and I doubt that even a pre-school kid would've been spell-bound by watching the fight of the ""warriors"". The entire movie was reminiscent of a cheaply produced American TV series. Give me Indiana Jones any day!",negative
"This movie was almost intolerable to sit through. I can get beyond the fact that it looks like it was shot with a home video camera and that this movie is supposed to span over weeks in time yet the characters do not once change outfits, but the acting broke the 4th wall to pieces for me. I've seen better acting in a 4th grade play. Aside from that the plot is unrealistic. If the man suspected the guy he would have turned him in. I was also heavily disappointed that all the killings were done with a gun what kind of gore is that. That is not a copycat the Zodiac did not kill using just a gun the authorities would have known it wasn't him. Another thing that really bothered me was that they called Disassociative Identity Disorder DSM 4 when that is the name of the book used to diagnose people with mental disorders not the name of the disorder. Overall I think this movie is not the kind of movie that could be done with a low budget at least not as low as they had or they could have made sure they had better actors or more gore. Plenty of people have went the low budget route with out having to use horrible actors look at Easy Rider that had Dennis Hopper and Jack Nicholson and a low budget.",negative
"I was so entertained throughout this insightful documentary, and I waited a good while for this to come through the pipes (my local video chain), and it was worth the wait. I like a good documentary / special interest piece, but this was definitely a heartfelt, honest, and nostalgic, if you will, look back on adolescent life. The imagination of a child is fascinating, and that's where a great story begins. Rent it or buy it if you like a good, humorous, and all around entertaining documentary. Mr. Stein and company have definitely come a long way from neighborhood Video CamCorder productions of bank hold-ups, and gay-rings that turn people gay from one glance. They all seem rather successful in they're respectful fields, and it was good to know that they are all still good friends. The DVD has a few extra trailers for other good documentaries, and it features a number of Darren's most notable productions, including, Crazy News.",positive
"""Pink Flamingos"" is a cult classic.The plot of this film revolves around the throwdown challenge to Divine's supremacy as the filthiest person alive.""Pink Flamingos"" contains some memorably repulsive scenes like a sex scene with a chicken and the scene where Divine eats fresh dog feces.Yes,the movie is shocking and funny at the same time,but the biggest laughs come from the actors' lines.Check out especially this line from Divine:""Kill everyone now!Condone first degree murder!Advocate cannibalism!Eat s***!Filth is my politics!Filth is my life!"".On the whole,I really enjoyed this film.Still its tagline ""An Exercise in Bad Taste"" should be taken to heart and even those used to the gross out movies today may find this gem hard to stomach.Highly recommended.",positive
Excellent film. Suzy Kendall will hold your interest throughout. Has not been shown on American TV for a decade. One scene that has always stayed with me is the German cavalry gas attack. You will find others. Hope they soon put it on tape.,positive
"The Scottish artist Andy Goldsworthy fashions natural materials into ephemeral artworks, assembling rocks into egg-shaped cairns, filling riverside rock-pools with fiery flowers and stitching thorns and twigs into intricate web patterns. An original work and a few photographs of his other creations are tucked away in a corner of Southampton art gallery (near where I live), but although I found these pieces intriguing, I only realised the wonder of Goldsworthy's work when I was lucky enough to catch a re-screening of Rivers and Tides.<br /><br />Thomas Reidelsheimer's film, accompanied by a beautiful instrumental soundtrack by Fred Frith, brings Goldsworthy and his art to life by showing the artist at work. The opening scene captures him fusing icicle fragments into a snake-like thread set atop a tree-stump. Working with his teeth and bare hands, Goldsworthy crafts a beautiful, ephemeral work. Before long this delicate sculpture melts away to nothing in the brilliant Nova Scotian sunlight. This scene is among the most beautiful in the film, but the breadth and inventiveness of Goldsworthy's work is remarkable. Reidelsheimer shows both the successes and the failures, capturing the frustration of pieces that collapse before they are completed as well as the glory of those that shine, even if for just a few hours, minutes or seconds.<br /><br />Goldsworthy himself provides the narration, speaking slowly but thoughtfully about the themes in his work. He makes plain his need to work with nature, to be alone in it and to further his understanding of it through trying to work with natural materials, even when they seem to be working against him. At times he is down-to-earth and humorous; at other times he struggles for the words to express his purpose  something which is quite understandable when witnessing his astonishing work first hand. The 'Rivers and Tides' of the title become increasingly pertinent as we see the natural materials pass through the artist's hands, flowing from one form to the next. The capture of the creation and dissolution of Goldworthy's work is in itself a striking piece of art.<br /><br />Although Goldsworthy works with widely varying materials and covers territory across North America and Europe, the presentation of artworks one after the other in this film is exhausting; it gave me the same feeling of fatigue that I get when I spend too long in an art gallery and struggle to take in anything new. A brief interval in which we are introduced to Andy's family and hometown is all that breaks the long succession of his artworks. Nevertheless, Reidelsheimer does a superb job in photographing Goldsworthy and his creations, locating them in their wider environments, from meandering Canadian rivers to rainy Scottish hillsides. Fittingly, the film ends with Goldsworthy casting handfuls of earth and snow into the sky. Fleeting patterns emerge from the dust particles even as they dissipate into the air; this is the purest expression of the beauty to be found in the work of this remarkable artist.",positive
